Politician,Year,Party,House,Total,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Fit Outs,Office Administrative Costs,Telecommunications,Family Travel Costs
Catryna Bilyk,2013,ALP,Senator,311085,23575,22226,39413,0,19402,127667,2571,62682,8369,5180
Chris Back,2013,Liberal,Senator,368441,25813,52988,61108,23584,20165,120160,0,49771,11197,3656
Chris Bowen,2013,ALP,MP,597970,11156,49227,29059,0,64144,249387,1315,182145,10711,826
Chris Evans,2013,ALP,Senator,118209,8068,0,25107,0,9129,62411,119,4613,5761,3001
Chris Hayes,2013,ALP,MP,469154,16933,18498,1170,0,27844,144591,2553,239103,16810,1652
Christian Porter,2013,Liberal,MP,44555,2680,0,7767,0,4058,22479,2836,1550,869,2316
Christine Milne,2013,Greens,Senator,499738,37794,0,79382,7977,39083,249427,0,67967,15522,2586
Christopher Pyne,2013,Liberal,MP,521772,35961,1590,110935,0,56113,82522,0,210656,13142,10854
Claire Moore,2013,ALP,Senator,354359,31464,16164,55615,0,31682,111075,0,89551,17501,1308
Clare O'Neil,2013,ALP,MP,71962,4824,0,4008,0,5611,33378,2511,16088,2313,3228
Clive Palmer,2013,Palmer United Party,MP,32658,0,0,1072,0,511,25061,4185,1416,412,0
Concetta Fierravanti-Wells,2013,Liberal,Senator,358592,17866,0,87810,89,58489,109903,0,62412,16421,5602
Cory Bernardi,2013,Liberal,Senator,251238,16920,0,38058,3935,21232,100333,0,56350,9615,4796
Craig Emerson,2013,ALP,MP,517523,24124,127740,45563,0,31742,132315,718,148263,7057,0
Craig Kelly,2013,Liberal,MP,363683,12884,0,635,0,3821,112709,0,220650,12985,0
Craig Laundy,2013,Liberal,MP,74563,4824,0,2353,0,5068,47317,4510,3897,1986,4609
Craig Thomson,2013,ALP,MP,375931,11440,0,16544,0,20157,88651,0,218784,13726,6631
Dan Tehan,2013,Liberal,MP,440688,17577,0,24908,5456,32372,129779,3889,206444,20263,0
Dana Wortley,2013,ALP,Senator,28658,0,0,0,0,0,28658,0,0,0,0
Darren Cheeseman,2013,ALP,MP,414469,9472,892,7901,0,21914,84024,0,277328,12938,0
Darren Chester,2013,National,MP,510565,31991,0,21363,45001,56818,108690,3760,220292,18787,3863
Daryl Melham,2013,ALP,MP,325603,9100,0,6423,0,10301,58536,0,229431,11813,0
David Bradbury,2013,ALP,MP,501627,15724,7854,21096,0,29096,185143,0,231704,10972,40
David Bushby,2013,Liberal,Senator,325704,22976,289,46734,2273,41230,96963,2785,97460,7432,7562
David Coleman,2013,Liberal,MP,57385,4020,0,3502,0,1227,21678,2760,21522,1972,705
David Fawcett,2013,Liberal,Senator,304299,24499,10937,54507,2582,24221,91072,20,79710,6743,10008
David Feeney,2013,ALP,Senator,427920,42104,35356,66615,0,29917,105824,380,134649,10871,2204
David Gillespie,2013,National,MP,65513,3055,0,5860,0,4359,38816,567,11057,1759,40
David Johnston,2013,Liberal,Senator,472085,34674,34557,109924,4690,48064,154108,374,60392,10036,15265
Dean Smith,2013,Liberal,Senator,412379,27391,0,101354,13211,29670,167384,1854,58616,12898,0
Deb O'Neill,2013,ALP,MP,363611,11514,0,11024,0,30980,92050,0,203893,10868,3281
Dennis Jensen,2013,Liberal,MP,400568,14268,0,38693,0,23245,121859,8519,158767,12072,23146
Dick Adams,2013,ALP,MP,335409,13740,2516,15359,0,20456,65586,2910,201929,12083,829
Don Farrell,2013,ALP,Senator,445687,46920,0,69795,90,46291,161671,1330,85427,13780,20383
Don Randall,2013,Liberal,MP,405560,12490,0,20775,0,31489,108678,222,214325,14793,2787
Doug Cameron,2013,ALP,Senator,321921,33179,14,26741,0,31291,129930,1280,83521,11588,4376
Ed Husic,2013,ALP,MP,486081,6962,14728,8067,0,26088,157803,7880,251741,12812,0
Eric Abetz,2013,Liberal,Senator,454483,39338,8100,97469,7650,73564,129959,295,80689,12034,5386
Eric Hutchinson,2013,Liberal,MP,86265,5868,0,8868,0,6267,25172,28000,7144,1835,3111
Ewen Jones,2013,LNP,MP,458531,14827,1161,37908,1900,16288,102201,364,261229,10577,12076
Fiona Nash,2013,National,Senator,339375,38218,0,50229,28845,38770,131578,0,10243,25550,15943
Fiona Scott,2013,Liberal,MP,49492,4288,0,0,0,3531,27917,100,11680,1976,0
Gai Brodtmann,2013,ALP,MP,335883,2524,0,3916,0,10227,141900,234,163274,13808,0
Gary Gray,2013,ALP,MP,921721,35189,32688,118481,226468,61103,208450,0,216347,11617,11379
Gary Humphries,2013,Liberal,Senator,276457,4393,23517,25466,0,19870,133108,21175,30987,13150,4792
Gavin Marshall,2013,ALP,Senator,251071,20660,721,21651,0,19970,111976,0,62280,11857,1956
Geoff Lyons,2013,ALP,MP,362352,11266,0,17035,0,15471,75392,1073,234085,8201,-171
George Brandis,2013,Liberal,Senator,471372,43066,71,100709,0,58746,184284,2835,67934,8393,5334
